"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","should filter '$.[?(@.ppu < 0.5)].name' matching 'Cake' with result: false","","Mon May 18 09:33:24 UTC 2026","passed","Mon May 18 09:33:24 UTC 2026","","JsonPathMessageFilterSpec","pl.allegro.tech.hermes.domain.filtering.JsonPathMessageFilterSpec","should filter '$.[?(@.ppu < 0.5)].name' matching 'Cake' with result: false"
"","2019","shouldNotIncreaseInflightForFilteredSubscription()","","Mon May 18 09:37:02 UTC 2026","passed","Mon May 18 09:37:04 UTC 2026","","pl.allegro.tech.hermes.integrationtests.MetricsTest","pl.allegro.tech.hermes.integrationtests.MetricsTest","shouldNotIncreaseInflightForFilteredSubscription"
"","106","should drop signals when no running process was found","","Mon May 18 09:33:55 UTC 2026","passed","Mon May 18 09:33:56 UTC 2026","","ConsumerProcessSupervisorTest","pl.allegro.tech.hermes.consumers.supervisor.process.ConsumerProcessSupervisorTest","should drop signals when no running process was found"
"","20","should pass through messages from loggers without aggregation enabled","","Mon May 18 09:33:24 UTC 2026","passed","Mon May 18 09:33:24 UTC 2026","","AggregatingTurboFilterTest","pl.allegro.tech.hermes.infrastructure.logback.AggregatingTurboFilterTest","should pass through messages from loggers without aggregation enabled"
"","0","should return best suited status code from children [statusCodes: [200, 201, 400], expectedStatusCode: 400, #2]","","Mon May 18 09:33:49 UTC 2026","passed","Mon May 18 09:33:49 UTC 2026","","MultiMessageSendingResultTest","pl.allegro.tech.hermes.consumers.consumer.sender.MultiMessageSendingResultTest","should return best suited status code from children [statusCodes: [200, 201, 400], expectedStatusCode: 400, #2]"
"","215","should render last undelivered message formatted time","LastUndeliveredMessage","Mon May 18 09:31:29 UTC 2026","passed","Mon May 18 09:31:29 UTC 2026","","","",""
"","14","should show message that removing inconsistentTopic was unsuccessful","useInconsistentTopics","Mon May 18 09:31:05 UTC 2026","passed","Mon May 18 09:31:05 UTC 2026","","","",""
"","2","shouldApplyPatch","","Mon May 18 09:32:58 UTC 2026","passed","Mon May 18 09:32:58 UTC 2026","","pl.allegro.tech.hermes.api.helper.PatchTest","pl.allegro.tech.hermes.api.helper.PatchTest","shouldApplyPatch"
"","2","should pass message for no filters","","Mon May 18 09:33:23 UTC 2026","passed","Mon May 18 09:33:23 UTC 2026","","FilterChainSpec","pl.allegro.tech.hermes.domain.filtering.FilterChainSpec","should pass message for no filters"
"","2","should find subscriptions by various name queries [queryString: sub, expectedSubscriptions: [first-subscription, second-subscription], #3]","","Mon May 18 09:36:19 UTC 2026","passed","Mon May 18 09:36:19 UTC 2026","","SearchServiceSpec","pl.allegro.tech.hermes.management.domain.search.SearchServiceSpec","should find subscriptions by various name queries [queryString: sub, expectedSubscriptions: [first-subscription, second-subscription], #3]"
"","2","should filter '$.batters.batter[1].type' matching '^Choco.*' with result: true","","Mon May 18 09:33:23 UTC 2026","passed","Mon May 18 09:33:23 UTC 2026","","JsonPathMessageFilterSpec","pl.allegro.tech.hermes.domain.filtering.JsonPathMessageFilterSpec","should filter '$.batters.batter[1].type' matching '^Choco.*' with result: true"
"","4","should throw exception when not able to fetch schema versions [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@43e97462 schemaRepositoryInstanceResolver=inaccessible objectMapper=inaccessible validationEndpointEnabled=inaccessible deleteSchemaPathSuffix=inaccessible subjectNamingStrategy=inaccessible>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x0000000079478ff0@71aeb62 arg$1=inaccessible>, #1]","","Mon May 18 09:38:06 UTC 2026","passed","Mon May 18 09:38:06 UTC 2026","","SchemaRegistryRawSchemaClientTest","pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClientTest","should throw exception when not able to fetch schema versions [client: <pl.allegro.tech.hermes.schema.confluent.SchemaRegistryRawSchemaClient@43e97462 schemaRepositoryInstanceResolver=inaccessible objectMapper=inaccessible validationEndpointEnabled=inaccessible deleteSchemaPathSuffix=inaccessible subjectNamingStrategy=inaccessible>, subjectNamingStrategy: <pl.allegro.tech.hermes.schema.SubjectNamingStrategy$$Lambda/0x0000000079478ff0@71aeb62 arg$1=inaccessible>, #1]"
"","12","should reduce rate according to provided reduction factor","","Mon May 18 09:33:47 UTC 2026","passed","Mon May 18 09:33:47 UTC 2026","","OAuthTokenRequestRateLimiterTest","pl.allegro.tech.hermes.consumers.consumer.oauth.OAuthTokenRequestRateLimiterTest","should reduce rate according to provided reduction factor"
"","3","should convert primitive types [suite: primitives, avroType: double, protoDescriptor: <com.google.protobuf.Descriptors$Descriptor@54733b9c index=inaccessible proto=inaccessible fullName=inaccessible file=inaccessible containingType=inaccessible nestedTypes=inaccessible enumTypes=inaccessible fields=inaccessible fieldsSortedByNumber=inaccessible extensions=inaccessible oneofs=inaccessible realOneofCount=inaccessible extensionRangeLowerBounds=inaccessible extensionRangeUpperBounds=inaccessible>, avroValue: 1.234, expectedProtoValue: 1.234, transformResult: <pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertPrimitivesTest$__spock_feature_0_0prov5_closure7@7f5c8208 delegate=inaccessible owner=inaccessible thisObject=inaccessible resolveStrategy=inaccessible directive=inaccessible parameterTypes=inaccessible maximumNumberOfParameters=inaccessible bcw=inaccessible thisType=inaccessible>, #6]","","Mon May 18 09:33:50 UTC 2026","passed","Mon May 18 09:33:50 UTC 2026","","ConvertPrimitivesTest","pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertPrimitivesTest","should convert primitive types [suite: primitives, avroType: double, protoDescriptor: <com.google.protobuf.Descriptors$Descriptor@54733b9c index=inaccessible proto=inaccessible fullName=inaccessible file=inaccessible containingType=inaccessible nestedTypes=inaccessible enumTypes=inaccessible fields=inaccessible fieldsSortedByNumber=inaccessible extensions=inaccessible oneofs=inaccessible realOneofCount=inaccessible extensionRangeLowerBounds=inaccessible extensionRangeUpperBounds=inaccessible>, avroValue: 1.234, expectedProtoValue: 1.234, transformResult: <pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertPrimitivesTest$__spock_feature_0_0prov5_closure7@7f5c8208 delegate=inaccessible owner=inaccessible thisObject=inaccessible resolveStrategy=inaccessible directive=inaccessible parameterTypes=inaccessible maximumNumberOfParameters=inaccessible bcw=inaccessible thisType=inaccessible>, #6]"
"","15","creating and updating topic with up to 2 days retention time should be valid [retentionTime: <pl.allegro.tech.hermes.api.RetentionTime@558 duration=inaccessible retentionUnit=inaccessible>, user: <pl.allegro.tech.hermes.management.domain.auth.TestRequestUser@5f4fdc1f username=inaccessible admin=inaccessible isOwner=inaccessible>, #3]","","Mon May 18 09:36:23 UTC 2026","passed","Mon May 18 09:36:23 UTC 2026","","TopicValidatorWithRealApiPreconditionsTest","pl.allegro.tech.hermes.management.domain.topic.validator.TopicValidatorWithRealApiPreconditionsTest","creating and updating topic with up to 2 days retention time should be valid [retentionTime: <pl.allegro.tech.hermes.api.RetentionTime@558 duration=inaccessible retentionUnit=inaccessible>, user: <pl.allegro.tech.hermes.management.domain.auth.TestRequestUser@5f4fdc1f username=inaccessible admin=inaccessible isOwner=inaccessible>, #3]"
"","4","shouldRecoverFromHeartbeatModeAndGetToMaximumViaSlowWhenDeliveringWithSuccess","","Mon May 18 09:34:09 UTC 2026","passed","Mon May 18 09:34:09 UTC 2026","","pl.allegro.tech.hermes.consumers.consumer.rate.calculator.OutputRateCalculatorTest","pl.allegro.tech.hermes.consumers.consumer.rate.calculator.OutputRateCalculatorTest","shouldRecoverFromHeartbeatModeAndGetToMaximumViaSlowWhenDeliveringWithSuccess"
"","1094","shouldFindSubscriptionByItsUpdatedEndpointAfterItWasUpdated()","","Mon May 18 09:40:57 UTC 2026","passed","Mon May 18 09:40:58 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.SearchEndpointTest","pl.allegro.tech.hermes.integrationtests.management.SearchEndpointTest","shouldFindSubscriptionByItsUpdatedEndpointAfterItWasUpdated"
"","137","should not open debug dialog when fetching topic content type fails","SubscriptionPathFiltersDebug","Mon May 18 09:30:40 UTC 2026","passed","Mon May 18 09:30:40 UTC 2026","","","",""
"","16","should render inconsistent groups table with filter applied (case-insensitive, filter: pl.allegro.internal.group)","InconsistentGroupListing","Mon May 18 09:31:32 UTC 2026","passed","Mon May 18 09:31:32 UTC 2026","","","",""
"","1","should indicate if schema version exists [version: SchemaVersion(1), expectedResult: true, #1]","","Mon May 18 09:38:02 UTC 2026","passed","Mon May 18 09:38:02 UTC 2026","","CachedSchemaVersionsRepositoryTest","pl.allegro.tech.hermes.schema.CachedSchemaVersionsRepositoryTest","should indicate if schema version exists [version: SchemaVersion(1), expectedResult: true, #1]"
